Age,Previous Rank,FantPos,Games Played,Games Started,Cmp,Att,Yds,TD,Int,Rush Att,Rush Yds,Rush TD,Tgt,Rec,Rec Yds,Rec TD,Total TD,PPR,Rank,Player
33,,4,17,15,0,0,0,0,0,5,26,1,31,19,200,2,3,57.6,253,Kyle Juszczyk
29,106,0,15,2,0,0,0,0,0,74,226,3,15,12,69,0,3,57.5,254,Ezekiel Elliott
26,342,3,17,6,0,0,0,0,0,0,0,0,36,27,241,1,1,57.1,255,Luke Schoonmaker
25,61,0,7,6,0,0,0,0,0,83,310,1,16,12,79,0,1,56.9,256,Isiah Pacheco
30,274,1,18,5,0,0,0,0,0,0,0,0,34,21,298,1,1,56.8,257,Mike Williams
30,189,1,12,2,0,0,0,0,0,2,0,0,22,17,215,2,3,56.5,258,Kalif Raymond
24,254,3,12,11,0,0,0,0,0,0,0,0,32,23,234,2,2,56.4,259,Tommy Tremble
30,421,0,17,1,0,0,0,0,0,30,112,0,28,19,198,1,1,56,260,Dare Ogunbowale
24,358,1,13,3,0,0,0,0,0,0,0,0,37,24,254,1,1,55.4,261,John Metchie
23,,1,14,3,0,0,0,0,0,5,25,1,36,26,223,0,1,54.8,262,Malik Washington
25,213,0,13,0,0,0,0,0,0,24,223,1,20,16,104,0,1,54.7,263,Emari Demercado
25,113,1,10,9,0,0,0,0,0,0,0,0,42,20,239,2,2,53.9,264,Gabriel Davis
25,354,0,17,3,0,0,0,0,0,56,159,2,19,16,99,0,2,53.8,265,Trey Sermon
22,,1,17,7,1,1,24,0,0,4,6,0,55,23,312,0,0,53.8,266,Adonai Mitchell
