Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
29,17,4,0,0,0,0,0,0,0,,0,17,9,53,5.89,0,0,0,0,5,14.3,252
24,6,1,0,0,0,0,0,0,0,,0,8,4,47,11.75,0,0,0,0,5,8.7,378
23,16,0,0,0,0,0,0,6,14,2.33,0,3,3,37,12.33,0,0,0,0,5,8.1,0
32,3,1,12,19,118,0,0,3,0,0,0,0,0,0,,0,0,0,0,5,4.7,296
27,16,5,0,0,0,0,0,0,0,,0,12,7,46,6.57,0,0,0,0,5,11.6,478
23,15,5,0,0,0,0,0,0,0,,0,13,6,39,6.5,0,0,0,0,4,9.9,355
24,5,2,0,0,0,0,0,2,1,0.5,0,8,4,34,8.5,0,0,0,0,4,7.5,312
27,6,0,0,0,0,0,0,0,0,,0,4,3,37,12.33,0,0,0,0,4,6.7,540
27,6,0,0,0,0,0,0,0,0,,0,3,3,44,14.67,0,0,0,0,4,7.4,504
30,17,4,0,0,0,0,0,0,0,,0,13,8,36,4.5,0,0,0,0,4,11.6,196
25,9,5,0,0,0,0,0,0,0,,0,8,7,39,5.57,0,0,0,0,4,10.9,506
26,17,0,0,0,0,0,0,0,0,,0,5,3,41,13.67,0,0,0,0,4,7.1,420
26,1,0,0,0,0,0,0,5,24,4.8,0,3,1,15,15,0,0,0,0,4,4.9,0
24,7,1,0,0,0,0,0,0,0,,0,6,3,41,13.67,0,0,0,0,4,7.1,375
23,17,9,0,0,0,0,0,0,0,,0,7,6,37,6.17,0,0,0,0,4,9.7,0
24,17,5,0,0,0,0,0,0,0,,0,5,4,42,10.5,0,0,0,0,4,8.2,422
27,15,0,0,0,0,0,0,4,36,9,0,2,2,6,3,0,0,0,0,4,6.2,0
26,5,0,0,0,0,0,0,10,44,4.4,0,3,2,0,0,0,0,0,0,4,6.4,0
26,4,0,0,0,0,0,0,0,0,,0,3,2,44,22,0,0,0,0,4,6.4,0
23,6,0,0,0,0,0,0,10,31,3.1,0,2,0,0,,0,0,0,0,3,3.1,0
28,6,1,0,0,0,0,0,0,0,,0,3,3,31,10.33,0,0,0,0,3,6.1,0
24,1,0,0,0,0,0,0,0,0,,0,3,3,27,9,0,0,0,0,3,5.7,262
29,2,0,0,0,0,0,0,8,20,2.5,0,1,1,10,10,0,0,0,0,3,4,300
27,5,1,0,0,0,0,0,0,0,,0,8,7,34,4.86,0,0,0,0,3,10.4,456
24,9,3,0,0,0,0,0,0,0,,0,12,5,28,5.6,0,0,0,0,3,7.8,464
24,8,6,0,0,0,0,0,0,0,,0,5,5,28,5.6,0,0,0,0,3,7.8,0
31,4,0,3,5,28,0,0,2,20,10,0,0,0,0,,0,0,0,0,3,3.1,180
26,10,0,0,0,0,0,0,6,23,3.83,0,3,3,11,3.67,0,0,0,0,3,6.4,565
26,3,0,6,9,62,0,0,5,2,0.4,0,0,0,0,,0,0,0,0,3,2.7,0
24,2,0,0,0,0,0,0,6,22,3.67,0,1,1,10,10,0,0,0,0,3,4.2,0
23,3,0,0,0,0,0,0,13,33,2.54,0,1,0,0,,0,0,0,0,3,3.3,0
25,10,0,0,0,0,0,0,0,0,,0,8,4,29,7.25,0,0,0,0,3,6.9,335
22,2,0,0,0,0,0,0,13,32,2.46,0,0,0,0,,0,0,0,0,3,3.2,0
31,12,0,0,0,0,0,0,0,0,,0,7,3,30,10,0,0,0,0,3,6,283
25,7,0,0,0,0,0,0,2,7,3.5,0,4,4,20,5,0,0,0,0,3,6.7,348
