Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,FantPt,PPR,PreRank
23,13,6,0,0,0,0,0,0,0,,0,20,9,124,13.78,0,0,0,0,12,21.4,0
25,10,1,0,0,0,0,0,0,0,,0,11,4,55,13.75,1,0,0,1,12,15.5,156
23,16,4,0,0,0,0,0,10,17,1.7,0,6,6,44,7.33,1,0,0,1,12,18.1,0
28,10,0,0,0,0,0,0,10,36,3.6,1,2,1,9,9,0,0,0,1,11,11.5,199
23,9,5,0,0,0,0,0,0,0,,0,7,5,51,10.2,1,0,0,1,11,16.1,0
25,16,7,0,0,0,0,0,0,0,,0,11,8,47,5.88,1,0,0,1,11,18.7,0
36,6,1,0,0,0,0,0,17,66,3.88,0,10,6,24,4,0,1,0,0,11,17,235
24,6,1,0,0,0,0,0,0,0,,0,13,8,114,14.25,0,0,0,0,11,19.4,0
26,8,0,0,0,0,0,0,0,0,,0,12,8,106,13.25,0,1,0,0,11,18.6,500
25,11,0,0,0,0,0,0,0,0,,0,10,5,116,23.2,0,1,1,0,10,14.6,332
24,16,0,0,0,0,0,0,0,0,,0,13,6,115,19.17,0,1,1,0,10,15.5,0
24,11,5,0,0,0,0,0,0,0,,0,9,6,38,6.33,1,0,0,1,10,15.8,0
22,14,1,0,0,0,0,0,4,31,7.75,0,6,6,24,4,0,3,1,1,10,15.5,0
26,7,3,0,0,0,0,0,1,1,1,1,5,5,42,8.4,0,0,0,1,10,15.3,344
27,3,0,0,0,0,0,0,0,0,,0,4,3,38,12.67,1,3,0,1,10,12.8,290
27,2,1,0,0,0,0,0,0,0,,0,5,4,36,9,1,0,0,1,10,13.6,429
23,4,1,0,0,0,0,0,0,0,,0,10,5,41,8.2,1,0,0,1,10,15.1,65
26,15,4,0,0,0,0,0,1,3,3,0,12,7,97,13.86,0,0,0,0,10,17,601
27,16,2,0,0,0,0,0,7,10,1.43,1,5,3,32,10.67,0,0,0,1,10,13.2,532
26,16,2,0,0,0,0,0,0,0,,0,11,8,93,11.63,0,0,0,0,9,17.3,317
30,14,0,1,1,3,0,0,4,28,7,0,8,6,22,3.67,0,4,1,1,9,15.1,417
23,9,3,0,0,0,0,0,0,0,,0,24,11,91,8.27,0,0,0,0,9,20.1,0
22,4,2,0,0,0,0,0,0,0,,0,15,8,89,11.13,0,0,0,0,9,16.9,137
25,3,2,47,73,416,0,3,0,0,,0,0,0,0,,0,2,1,0,9,8.6,0
25,13,2,0,0,0,0,0,2,29,14.5,0,18,3,64,21.33,0,0,0,0,9,12.3,174
26,15,7,0,0,0,0,0,0,0,,0,8,7,91,13,0,0,0,0,9,16.1,0
23,16,0,0,0,0,0,0,4,21,5.25,0,7,6,71,11.83,0,0,0,0,9,15.2,0
33,1,0,0,0,0,0,0,12,34,2.83,1,0,0,0,,0,0,0,1,9,9.4,188
32,16,5,0,0,0,0,0,0,0,,0,5,4,31,7.75,1,0,0,1,9,13.1,321
25,16,1,0,0,0,0,0,6,11,1.83,1,2,2,6,3,0,0,0,1,8,9.7,368
30,14,1,0,0,0,0,0,0,0,,0,2,2,23,11.5,1,0,0,1,8,10.3,474
23,12,0,0,0,0,0,0,0,0,,0,1,1,15,15,1,0,0,1,8,8.5,0
28,8,5,0,0,0,0,0,0,0,,0,24,14,84,6,0,0,0,0,8,22.4,63
24,16,1,0,0,0,0,0,0,0,,0,10,4,76,19,0,0,0,0,8,11.6,485
23,16,1,0,0,0,0,0,0,0,,0,13,4,80,20,0,0,0,0,8,12,311
22,10,2,0,0,0,0,0,0,0,,0,16,9,82,9.11,0,0,0,0,8,17.2,0
29,8,7,0,0,0,0,0,0,0,,0,10,8,79,9.88,0,0,0,0,8,15.9,408
25,3,0,0,0,0,0,0,0,0,,0,2,2,70,35,0,3,0,0,7,9,446
28,15,7,0,0,0,0,0,0,0,,0,15,8,67,8.38,0,0,0,0,7,14.7,418
